stage;month;year;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE;NUM_UTE
68;8;2021;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;849.59;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
69;9;2021;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;849.59;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
70;10;2021;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;849.59;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
71;11;2021;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;849.59;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
72;12;2021;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;849.59;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
73;1;2022;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;849.59;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
74;2;2022;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;849.59;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
75;3;2022;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;849.59;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
76;4;2022;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;849.59;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
77;5;2022;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;849.59;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
78;6;2022;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;849.59;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
79;7;2022;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;849.59;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
80;8;2022;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;849.59;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
81;9;2022;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;849.59;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
82;10;2022;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;849.59;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
83;11;2022;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;849.59;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
84;12;2022;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;849.59;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
85;1;2023;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;849.59;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
86;2;2023;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;849.59;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
87;3;2023;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;849.59;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
88;4;2023;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;849.59;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
89;5;2023;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;849.59;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
90;6;2023;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;849.59;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
91;7;2023;90;25.38;20.12;87.43;937;269.08;269.08;300.38;194.11;90;511.77;839.21;0;155.5;231.3;303.55;231.3;399.02;896.43;301.79;653.43;213.84;193.87;37.8;58.89;102.84;279.71;701.91;470.34;421.52;310.41;128.97;90;156.28;301.18;678.04;422.56;183.95;183.95;302.75;349.99;156.28;1047.38;0;463.69;297.27;1173.04;595.11;43.02;53.1;53.1;53.1;53.1;53.1;69.72;698.14;205.48;249.51;459.92;258.42;195.49;186.33;155.85;780;115.9;115.9;50;239.05;248.31;65;486.2;743.06;743.06;556.28;743.06;125;943.88;604.2;463.69;85.42;743.06;743.06;743.06;743.06;60;300.74;139.88;526.56;526.56;743.06;743.06;446.34;743.06;604.2;743.06;235.05;131.17;140.43;198.8;995.1;392.18;662.89;897.57;897.56;122.68;462.79;510.12;349.99;458.2;252.49;995.1;463.11;463.11;70.16;314.63;302.19;905.99;0;872.84;841.64;463.68;463.68;867.33;0;0;69.45;119.78;119.78;61.5;711.77;849.59;575;188.18;69;0;134.27;898.56;640.96;873.18;0;0
